Gruppe,enthalten in,Rückgabetyp,Name,Parameter,Beschreibung
Global,Programm,long,GetActiveWindow,,Gibt das aktuelle Windows-Fenster zurück
,Programm,long,MsgBox,"string text,string title",
,Programm,long,MgB,string text,Kurform der MessageBox. Es muss nur ein Inhaltstext angegeben werden.
,Programm,long,GetFirstGlobalIndex,,???
,Programm,string,BGGetApplicationInfo,"string _p_Keyword,string _p_Param","Folgende Applikationsinformationen stehen zur Verfügung:

BGGetApplicationInfo(""GetActiveTables"", """")

Gibt sämtliche Tabellen des aktiven Destops zurück (mit ""|"" getrennt).

BGGetApplicationInfo(""GetCurrentRecord"", ""ADR_STAMM"")

Gibt den Primärschlüssel des aktuellen Datensatzes der angegebenen Tabelle zurück.

BGGetApplicationInfo(""GetSelectedRecords"", ""ADR_STAMM"")

Gibt alle Primärschlüssel der selektierten Datensätze der angegebenen Tabelle zurück. (mit ""|"" getrennt)"
,Programm,long,BSSYSTEMCALL_HIDE_MAIN_WINDOW,,"Kann als Commandparameter beim Aufruf von BSSystemCallWithOptions() mitgegeben 
werden.
Versteckt das während der Ausführung geöffnete Hauptfenster. Nach der Ausführung 
des Commands wird BormScript an dieser Stelle weiter ausgeführt."
,Programm,long,BSSYSTEMCALL_RAW,,"Kann als Commandparameter beim Aufruf von BSSystemCallWithOptions() mitgegeben 
werden.
Wenn dieser Commandparameter gesetzt ist, werden keine zusätzlichen 
Parameter an das aufzurufende programm weitergegeben (wie z.B. LOGINUSER etc.)"
,Programm,long,BSSYSTEMCALL_HIDE_CONSOLE,,"Kann als Commandparameter beim Aufruf von BSSystemCallWithOptions() mitgegeben 
werden.
Wenn eine Konsolenapplikation aufgerufen wird, wird mit diesem Commandparameter 
keine Konsole während der Ausführung angezeigt."
,Programm,void,BGSleep,long __lMilliSeconds,"Stoppt den Bormscript Thread für x Milisekunden.
Wurde früher mit Pause gemacht"
,Programm,,BGCreateHelpToken,,"Erstellt einen Token um Zugriff auf die Onlinehilfe zu gewährleisten.
Mit der Version 31.0 wurde diese Funktion eingeführt und löste die Variable HLP_TOKEN ab."
,Programm,,BGGetHelpCompanyKey,,"Erstellt einen Key um Zugriff auf die Onlinehilfe zu gewährleisten.
Mit der Version 31.0 wurde diese Funktion eingeführt und löste die Variable HLP_KEY ab."
Datenbank,Programm,long,BGSavePictureFromDB,"string __Sql,string __ColName,string __FileName,long __ExportFormat","bool function main(){
	long l;
	l = BGSavePictureFromDB(""select * from AV_STK_IMAGES where STK_ID=438"",""DYN_KANTENBILD"", ""c:\\test.bmp"",1);	
}

// Export-Formate
// CXIMAGE_FORMAT_BMP = 1,
// CXIMAGE_FORMAT_GIF = 2,
// CXIMAGE_FORMAT_JPG = 3,
// CXIMAGE_FORMAT_PNG = 4,
// CXIMAGE_FORMAT_ICO = 5,
// CXIMAGE_FORMAT_TIF = 6,
// CXIMAGE_FORMAT_TGA = 7,
// CXIMAGE_FORMAT_PCX = 8,

//Rückgabewerte
Die Funktion retourniert im Erfolgsfall BGSAVEPICFROMDB_OK ansonsten
eine andere BGSavePicFromDb-Konstante, die den entsprechenden Fehler repräsentiert.
// BGSAVEPICFROMDB_OK = 0;
// BGSAVEPICFROMDB_DB_NOTFOUND = 1;
// BGSAVEPICFROMDB_WRONGPARAMETERS = 2;
// BGSAVEPICFROMDB_NODATA = 3;
// BGSAVEPICFROMDB_DECODEERROR = 4;
// BGSAVEPICFROMDB_SAVEERROR = 5;"
,Programm,string,BGEscapeSqlString,string __sSqlString,"Mit dieser Funktion kann ein SQL-String sauber escaped werden.
_ (Unterstrich) ==> [_]
' ==> ''
% ==> [%]

Diese Funktion soll verwendet werden, wenn SQL-Strings mit dem ""LIKE"" Operator verglichen werden. Bei Vergleichen mit dem ""="" Operator soll diese Funktion nicht verwendet werden, sondern lediglich die Hochkommas escaped werden."
,Programm,,BG_COLUMNTYPE_LONG,,"Konstante für den Spaltentyp ""long"""
,Programm,,BG_COLUMNTYPE_DOUBLE,,"Konstante für den Spaltentyp ""double"""
,Programm,,BG_COLUMNTYPE_STRING,,"Konstante für den Spaltentyp ""string"""
,Programm,,BG_COLUMNTYPE_DATETIME,,"Konstante für den Spaltentyp ""datetime"""
,Programm,,BG_COLUMNTYPE_MEMO,,"Konstante für den Spaltentyp ""memo""."
,Programm,,BG_COLUMNTYPE_BLOB,,"Konstante für den Spaltentyp ""blob"""
